cricheroes_match_id,innings_number,cricheroes_team_id,batting_order,cricheroes_player_id,name,is_captain,runs,balls,minutes,fours,sixes,strike_rate,batting_hand,how_to_out,is_out
6947190,1,1597091,5,8445343,Anantha Madhava,0,4,3,4,1,0,133.33,RHB,b BHARATH G S AGASTHYA,1
6947190,1,1597091,6,4143096,Aniruddha Dv,0,31,19,6,3,3,163.16,RHB,run out † BHARATH G S AGASTHYA / † BHARATH G S AGASTHYA,1
6947190,1,1597091,7,8444668,Srisha Badarayana H S,0,2,6,6,0,0,33.33,RHB,not out,0
6947190,2,388115,1,8450899,Sandeep,0,1,7,3,0,0,14.29,LHB,retired,1
6947190,2,388115,2,8670699,Ajith P,0,0,2,6,0,0,0.00,RHB,c †Aprameya Guruprasad b Anantha Madhava,1
6947190,2,388115,3,10052159,Praveena,1,2,6,2,0,0,33.33,RHB,retired,1
6947190,2,388115,4,8444682,Pavan Gautham,0,25,19,14,0,3,131.58,RHB,not out,0
6947190,2,388115,5,4416809,BHARATH G S AGASTHYA  (wk),0,0,2,3,0,0,0.00,RHB,c †Aprameya Guruprasad b Anantha Madhava,1
6947190,2,388115,6,8556507,Prabhanjan,0,8,4,2,2,0,200.00,RHB,b Aniruddha Dv,1
6947190,2,388115,7,10052031,Yashu,0,8,5,7,0,1,160.00,RHB,not out,0
6947199,1,1597084,1,3542117,Amith P,0,7,6,2,0,1,116.67,RHB,retired out,1
6947199,1,1597084,2,19048034,Balaji,0,1,4,12,0,0,25.00,RHB,c Prabhav PK b Srikanth T K,1
6947199,1,1597084,3,10046726,Shrivatsa Hatwar,0,12,6,3,1,1,200.00,RHB,retired hurt,1
6947199,1,1597084,4,10031492,Mady,0,0,1,1,0,0,0.00,RHB,c Vishnunandan b Tej,1
6947199,1,1597084,5,8814171,Pavan Raghavendra,0,1,7,5,0,0,14.29,RHB,run out Srikanth T K / Tej,1
6947199,1,1597084,6,8129644,Pavan Kashyap,1,15,19,10,0,2,78.95,RHB,not out,0
6947199,2,1597085,1,809867,Prabhav PK,0,0,6,2,0,0,0.00,RHB,retired out,1
6947199,2,1597085,2,8556484,Srinidhi NS,0,26,7,9,2,3,371.43,RHB,not out,0
6947199,2,1597085,3,8556544,Sudhindhra,0,8,6,4,0,1,133.33,RHB,retired hurt,1
6947199,2,1597085,4,8445414,Tej,0,4,1,2,1,0,400.00,RHB,retired hurt,1
6947199,2,1597085,5,5922441,Prasanna,1,0,3,1,0,0,0.00,RHB,not out,0
6947210,1,1597088,1,8445356,Pradyumna,0,1,6,2,0,0,16.67,RHB,retired,1
6947210,1,1597088,2,6508655,Sudharshan,0,0,0,4,0,0,0.00,RHB,retired,1
6947210,1,1597088,3,8445462,Prasad K S,1,1,6,1,0,0,16.67,RHB,retired,1
6947210,1,1597088,4,8445318,K S AKSHAY KAUSHIK,0,18,12,11,0,2,150.00,RHB,b Pavan Gautham,1
6947210,1,1597088,5,19421271,Krishnamurthy,0,14,10,5,0,2,140.00,RHB,run out Praveena / BHARATH G S AGASTHYA,1
6947210,1,1597088,6,8444531,Shreenidhi Prakash,0,3,4,7,0,0,75.00,RHB,not out,0
6947210,1,1597088,7,8469156,Sridhar,0,17,4,1,1,2,425.00,RHB,not out,0
6947210,2,388115,1,8450899,Sandeep,0,3,7,6,0,0,42.86,LHB,retired,1
6947210,2,388115,2,8670699,Ajith P,0,1,3,10,0,0,33.33,RHB,retired hurt,1
6947210,2,388115,3,10052159,Praveena,1,9,3,4,2,0,300.00,RHB,retired hurt,1
6947210,2,388115,4,4416809,BHARATH G S AGASTHYA,0,40,12,5,1,6,333.33,RHB,not out,0
6947210,2,388115,5,8444682,Pavan Gautham,0,3,3,5,0,0,100.00,RHB,not out,0
6947241,1,1597091,1,20546462,Hrishikesha,0,0,1,1,0,0,0.00,RHB,c Mahesh b Srikrishna,1
6947241,1,1597091,2,4143096,Aniruddha Dv,0,4,7,11,0,0,57.14,RHB,c †Guruprasad Ramachandrachar b Paneendra Gautham,1
6947241,1,1597091,3,4048300,Vadiraj,0,2,11,7,0,0,18.18,RHB,not out,0
6947241,1,1597091,4,8445343,Anantha Madhava,0,7,4,2,0,1,175.00,RHB,c Jeethu b Badriprasad,1
6947241,1,1597091,5,5387685,Aprameya Guruprasad,0,4,6,6,0,0,66.67,RHB,c †Guruprasad Ramachandrachar b Badriprasad,1
6947241,1,1597091,6,4048334,Ravi Aniruddha,1,1,3,2,0,0,33.33,RHB,c&b Jeethu,1
